percent,knn,recall dtrees,recall boosting,svm linear,svm poly ,nn identity,nn tanh,nn relu
0.1,"0.7884615384615384,","0.8936170212765957,","0.8666666666666667,","0.9795918367346939,","0.8979591836734694,","0.9259259259259259,","0.9444444444444444,","0.9629629629629629,"
0.2," 0.8269230769230769,"," 0.746268656716418,"," 0.8833333333333333,"," 0.9183673469387755,"," 0.8367346938775511,"," 0.9629629629629629,"," 0.9629629629629629,"," 0.9629629629629629,"
0.3," 0.8461538461538461,"," 0.8490566037735849,"," 0.8666666666666667,"," 0.9183673469387755,"," 0.7959183673469388,"," 0.9444444444444444,"," 0.9444444444444444,"," 0.9259259259259259,"
0.4," 0.8461538461538461,"," 0.9038461538461539,"," 0.9,"," 0.9183673469387755,"," 0.8367346938775511,"," 0.9814814814814815,"," 0.9814814814814815,"," 0.9444444444444444,"
0.5," 0.8653846153846154,"," 0.8928571428571429,"," 0.9166666666666666,"," 0.8979591836734694,"," 0.9591836734693877,"," 0.9444444444444444,"," 0.9814814814814815,"," 0.9444444444444444,"
0.6," 0.8846153846153846,"," 0.9259259259259259,"," 0.9333333333333333,"," 0.9387755102040817,"," 0.8775510204081632,"," 0.9814814814814815,"," 0.9629629629629629,"," 0.9814814814814815,"
0.7," 0.8846153846153846,"," 0.851063829787234,"," 0.9166666666666666,"," 0.9387755102040817,"," 0.8571428571428571,"," 0.9629629629629629,"," 0.9629629629629629,"," 0.9629629629629629,"
0.8," 0.8846153846153846,"," 0.8431372549019608,"," 0.9333333333333333,"," 0.8979591836734694,"," 0.8775510204081632,"," 0.9814814814814815,"," 0.9629629629629629,"," 0.9814814814814815,"
0.9," 0.8846153846153846,"," 0.9,"," 0.95,"," 0.9183673469387755,"," 0.8979591836734694,"," 0.9444444444444444,"," 0.9444444444444444,"," 0.9629629629629629,"
1,0.884615385,0.943396226,0.95,0.918367347,0.918367347,0.981481481,0.944444444,0.962962963
